datetime,SYM_H
2015-05-11 18:45:00,-32
2015-05-11 18:50:00,-32
2015-05-11 18:55:00,-33
2015-05-11 19:00:00,-32
2015-05-11 19:05:00,-33
2015-05-11 19:10:00,-32
2015-05-11 19:15:00,-34
2015-05-11 19:20:00,-35
2015-05-11 19:25:00,-35
2015-05-11 19:30:00,-36
2015-05-11 19:35:00,-34
2015-05-11 19:40:00,-35
2015-05-11 19:45:00,-34
2015-05-11 19:50:00,-33
2015-05-11 19:55:00,-33
2015-05-11 20:00:00,-31
2015-05-11 20:05:00,-28
2015-05-11 20:10:00,-23
2015-05-11 20:15:00,-24
2015-05-11 20:20:00,-25
2015-05-11 20:25:00,-25
2015-05-11 20:30:00,-27
2015-05-11 20:35:00,-26
2015-05-11 20:40:00,-26
2015-05-11 20:45:00,-26
2015-05-11 20:50:00,-26
2015-05-11 20:55:00,-27
2015-05-11 21:00:00,-26
2015-05-11 21:05:00,-26
2015-05-11 21:10:00,-25
2015-05-11 21:15:00,-24
2015-05-11 21:20:00,-25
2015-05-11 21:25:00,-27
2015-05-11 21:30:00,-24
2015-05-11 21:35:00,-23
2015-05-11 21:40:00,-23
2015-05-11 21:45:00,-30
2015-05-11 21:50:00,-30
2015-05-11 21:55:00,-28
2015-05-11 22:00:00,-27
2015-05-11 22:05:00,-26
2015-05-11 22:10:00,-24
2015-05-11 22:15:00,-23
2015-05-11 22:20:00,-22
2015-05-11 22:25:00,-20
2015-05-11 22:30:00,-20
2015-05-11 22:35:00,-21
2015-05-11 22:40:00,-22
2015-05-11 22:45:00,-23
2015-05-11 22:50:00,-24
2015-05-11 22:55:00,-24
2015-05-11 23:00:00,-23
2015-05-11 23:05:00,-23
2015-05-11 23:10:00,-20
2015-05-11 23:15:00,-18
2015-05-11 23:20:00,-17
2015-05-11 23:25:00,-18
2015-05-11 23:30:00,-17
2015-05-11 23:35:00,-14
2015-05-11 23:40:00,-14
2015-05-11 23:45:00,-13
2015-05-11 23:50:00,-13
2015-05-11 23:55:00,-15
2015-05-12 00:00:00,-15
2015-05-12 00:05:00,-15
2015-05-12 00:10:00,-13
2015-05-12 00:15:00,-13
2015-05-12 00:20:00,-12
2015-05-12 00:25:00,-11
2015-05-12 00:30:00,-11
2015-05-12 00:35:00,-13
2015-05-12 00:40:00,-12
2015-05-12 00:45:00,-12
2015-05-12 00:50:00,-13
2015-05-12 00:55:00,-17
2015-05-12 01:00:00,-16
2015-05-12 01:05:00,-15
2015-05-12 01:10:00,-13
2015-05-12 01:15:00,-13
2015-05-12 01:20:00,-14
2015-05-12 01:25:00,-15
2015-05-12 01:30:00,-14
2015-05-12 01:35:00,-15
2015-05-12 01:40:00,-14
2015-05-12 01:45:00,-12
